,7900488 / MIR30E,7923976 / C1orf132///MIR29B2,7971661 / MIR15A,7976832 / MIR323A,8008885 / MIR21,8045453 / MIR128-1,8084755 / MIR28,8087881 / MIRLET7G,8163107 / MIR32,8175248 / MIR92A2
67.GSM1620795.C,7.92883,5.96444,7.67766,3.31237,9.16018,6.13346,5.64603,8.62904,8.36521,2.59118
67.GSM1620796.C,7.91733,5.56383,7.74698,3.15904,9.91908,6.19397,5.7679,8.3987,8.18235,2.71714
67.GSM1620797.C,7.95634,6.17004,7.46272,2.99194,9.22818,5.76367,5.5454,8.0001,8.32597,2.67491
67.GSM1620798.C,8.05119,5.50744,7.29865,2.95557,8.86869,6.0714,5.45628,8.05781,8.11161,2.5842
67.GSM1620799.C,7.99713,5.7195,7.38702,3.07064,9.28622,5.94032,5.50152,8.27469,8.39982,2.52409
67.GSM1620800.C,7.9945,5.55288,7.33283,3.17534,10.2131,5.98951,5.24012,8.25063,7.80196,2.60397
67.GSM1620801.C,8.09883,5.89737,7.57761,3.32272,9.89816,6.02803,5.53042,8.68983,7.95377,2.61616
67.GSM1620802.C,8.0292,5.44028,7.59013,3.27856,9.85409,5.89569,5.49655,8.21129,8.07673,2.83016
67.GSM1620803.C,8.26948,5.81786,7.25417,3.03002,8.51857,6.32407,5.32965,8.14864,8.16623,2.89627
67.GSM1620804.C,8.17462,5.90584,8.21961,3.01281,9.21444,5.91666,5.70914,8.10617,7.96977,2.64753
